time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.867425317587173e-07,-3.438349860678493e-08,10.003254355710991,6.283136828465526,0.0006018552324817961,0.0,-6.264411127154966e-05,-3.5964882105715575e-06,0.10847362486758799,-0.0024751265102640257,0.0249185859692189,0.0,438.81098633884386,440.87423740658306,439.41924866594513,439.21407499776575
0.12000000000000001,-2.089439562592305e-05,-1.644128938819539e-06,10.01053312242631,6.282997311296802,0.0016236311954456184,0.0,-0.0007301067872801894,-6.316554858220562e-05,0.13414886116776184,-0.0020272570042992543,-0.007512149243831093,0.0,413.6110798847548,410.7454868226958,413.1246044436563,413.16413369005573
0.18,-0.00010082343362211287,-1.0302359121747308e-05,10.024301717915852,6.2829320142700915,0.0012879072215827847,0.0,-0.0018890386851843704,-0.00023615119563973915,0.32476887398894105,0.000726620887986583,-0.0020136799286186347,0.0,464.21857809873956,464.6498577517517,465.05673618180725,465.2723768879899
0.23999999999999996,-0.00023844415192516167,-2.8976944151315057e-05,10.044768710540808,6.282545895868234,0.001761583603982153,0.0,-0.002719207369845547,-0.0003960658164422769,0.3574542234344985,-0.02730962212422393,0.022644709700607918,0.0,413.89768268015285,416.0617809945828,416.47455638315586,414.01556861729404
0.3,-0.0004559613124198855,-7.548234165682286e-05,10.074997248284651,6.282011681046223,0.0037887564502963045,0.0,-0.0047601624027300195,-0.0012774227898182675,0.6500428023792209,0.013814578031305301,0.04988313737127906,0.0,494.35664105931716,496.3596323842499,491.9610385228122,494.99619681445995
0.36000000000000004,-0.0008460386515278273,-0.00017673189108293288,10.120398662994239,6.2827593100315475,0.006772286987999365,0.0,-0.008596703111995299,-0.002003634167022117,0.863199269157335,0.009604636129154537,0.04940848490036996,0.0,471.3305393704144,471.2952543516972,472.65840857623857,472.3337629616023
0.4200000000000001,-0.0015136667766864431,-0.0003036070775820019,10.1751959037248,6.283013697786352,0.010192076417791185,0.0,-0.013985897352075815,-0.0021800221278096337,0.9632934040054592,-0.0095471996165775,0.06897634472040885,0.0,437.44750375727534,439.0759091392009,437.94999173832883,436.3542822502337
0.48000000000000015,-0.002547463894492296,-0.0004385388684076819,10.233099830431922,6.283134449598926,0.01398498974197171,0.0,-0.020825068429061767,-0.0023317603404910243,0.9668303403747938,0.018552766078579655,0.04805033077501758,0.0,406.59522309606444,404.71956243877804,405.3119051850265,407.8292291210265
0.5400000000000001,-0.0040647659546582515,-0.0005756427892873882,10.29189770474057,0.000946607991873627,0.016803345976390105,0.0,-0.030011094507619036,-0.0021419713240912065,0.99307215164128,0.012458486284813903,0.04472577780422503,0.0,414.1389887684047,413.84799800426265,413.9226084187895,413.3859435632464
0.6000000000000002,-0.006244207449263691,-0.0006800400031775133,10.355717380501186,0.002012485717682644,0.019126750576075047,0.0,-0.042909706931348664,-0.0012382715803659074,1.13411555847186,0.0266888239650796,0.02266746014479938,0.0,451.09421801897577,449.31032828124637,450.76918596613956,451.91747524972055
0.6600000000000003,-0.009333435143033043,-0.0006931009501766276,10.432665491939062,0.003506510096587867,0.02028043120690004,0.0,-0.060224534617037966,0.0010053373814164835,1.4304947696132357,0.02105999398188499,0.011266432286505802,0.0,497.037400467973,496.20115569355397,496.8472580502559,496.43447871097436
0.7200000000000003,-0.013340788624794327,-0.0005608246896245425,10.520097335002758,0.004553279490882467,0.02158365118795924,0.0,-0.07345204444326855,0.00351460823573171,1.4838291815010747,0.009008703839311849,0.03707565601737215,0.0,422.4675358913136,424.6869265256599,424.8204243572351,423.7858506112367
0.7800000000000004,-0.01817302096071902,-0.0002598540022487149,10.610769422123509,0.005378834910980679,0.023263919752878337,0.0,-0.0878207962656605,0.006583788816464931,1.5384961811367757,0.021879610351830173,-0.0046277484462571294,0.0,427.1315560240249,423.56058858734445,423.17529818163047,424.28158772814686
0.8400000000000004,-0.023986886495032295,0.00026674419637209113,10.708836478131166,0.006368600090180365,0.0235783635875908,0.0,-0.10597666215639887,0.011104558909720065,1.7301338956332382,0.0026471966388886756,0.019946217870883236,0.0,466.77365461985556,468.6872640420928,467.8573043393952,466.3575381202181
0.9000000000000005,-0.030894765633289672,0.0010806122436167417,10.818052038892459,0.006130680792172605,0.02480279103071581,0.0,-0.12441734832004848,0.016024008569236185,1.9100973994278823,-0.022432730419047586,0.0213132839484923,0.0,464.56833931829976,464.6754703320473,465.38778719295505,463.4207811997733
0.9600000000000005,-0.038960404208665256,0.0021829448525615166,10.938965961624918,0.0046922482140132615,0.026188788153211462,0.0,-0.14458629077343624,0.020553834578269488,2.1199973256746234,-0.027249103754825515,0.02645279581508827,0.0,473.72564691149415,474.1206639302771,474.2520227599223,473.8819286664155
1.0200000000000005,-0.04815519851097172,0.003502291055482145,11.068108479637717,0.0031557361816725304,0.02786707439549385,0.0,-0.16206218669349168,0.02327053608555911,2.1846270463094952,-0.022514625048005808,0.030847324044647243,0.0,429.8140335216775,430.1865250713914,429.87987613116223,430.28070961665037
1.0800000000000005,-0.0585297351117392,0.0049654398203015085,11.204580545015748,0.0014720694488437047,0.029502325468926394,0.0,-0.1839458141499926,0.025331224926892555,2.3640813139422585,-0.04247056981343708,0.01887447803661916,0.0,465.5286801326465,464.5910656154926,467.7329040532498,466.17599320455207
